ed_json	close_prop
23045	83.3
23044	66.7
51019	50.0
23047	50.0
59053	50.0
23023	50.0
42063	50.0
49014	50.0
46064	42.9
30013	40.0
59038	40.0
24038	40.0
48011	33.3
45007	33.3
23049	33.3
24033	33.3
45013	33.3
45018	33.3
45030	33.3
59061	33.3
47042	33.3
26034	33.3
48015	33.3
47029	33.3
47016	33.3
40006	33.3
40005	33.3
28052	33.3
45070	33.3
40001	33.3
30016	33.3
46037	33.3
30010	33.3
45043	33.3
48019	33.3
30007	33.3
49046	33.3
64050	33.3
59054	33.3
64079	33.3
64080	33.3
41010	33.3
64083	33.3
63056	33.3
63017	33.3
64088	33.3
66092	33.3
28074	33.3
73046	33.3
48042	33.3
49029	33.3
48061	33.3
48058	33.3
42059	33.3
48055	33.3
42066	33.3
42061	33.3
73052	33.3
48045	33.3
46025	28.6
46053	28.6
46019	28.6
46060	28.6
46061	28.6
46065	28.6
46072	28.6
41019	28.6
28064	25.0
55044	25.0
28069	25.0
59036	20.0
59046	20.0
59037	20.0
59040	20.0
59042	20.0
27046	20.0
59045	20.0
59052	20.0
28070	20.0
59055	20.0
23003	16.7
73067	16.7
63031	16.7
23004	16.7
23007	16.7
23009	16.7
23011	16.7
30006	16.7
23014	16.7
63029	16.7
63028	16.7
63047	16.7
63027	16.7
63024	16.7
23039	16.7
63034	16.7
63055	16.7
63050	16.7
63053	16.7
73045	16.7
63054	16.7
63022	16.7
63059	16.7
63060	16.7
63061	16.7
63064	16.7
64078	16.7
63065	16.7
63067	16.7
63074	16.7
64019	16.7
63023	16.7
23041	16.7
23040	16.7
28075	16.7
61012	16.7
27027	16.7
27030	16.7
27051	16.7
27057	16.7
28018	16.7
40007	16.7
40002	16.7
38019	16.7
38016	16.7
30023	16.7
30018	16.7
30017	16.7
59060	16.7
30011	16.7
28071	16.7
30008	16.7
27001	16.7
61014	16.7
61029	16.7
23052	16.7
63018	16.7
63016	16.7
63014	16.7
63013	16.7
63011	16.7
63002	16.7
61052	16.7
24032	16.7
61037	16.7
61039	16.7
61038	16.7
26001	16.7
26011	16.7
26012	16.7
26028	16.7
26031	16.7
82003	16.7
49031	16.7
59059	16.7
45033	16.7
44003	16.7
44013	16.7
44026	16.7
44041	16.7
44067	16.7
45001	16.7
45004	16.7
45009	16.7
45012	16.7
45038	16.7
59058	16.7
45041	16.7
45048	16.7
45049	16.7
45058	16.7
45059	16.7
45068	16.7
45069	16.7
45071	16.7
45075	16.7
43063	16.7
42064	16.7
42060	16.7
42038	16.7
82046	16.7
82047	16.7
82048	16.7
82049	16.7
87083	16.7
41002	16.7
41006	16.7
41009	16.7
41012	16.7
41017	16.7
41042	16.7
41056	16.7
41058	16.7
41059	16.7
41080	16.7
41082	16.7
41084	16.7
41086	16.7
41088	16.7
46023	16.7
64053	16.7
47065	16.7
47067	16.7
47039	16.7
47048	16.7
47049	16.7
47051	16.7
47057	16.7
47062	16.7
48068	16.7
47066	16.7
47068	16.7
48067	16.7
48002	16.7
48013	16.7
48028	16.7
48037	16.7
48038	16.7
48041	16.7
48054	16.7
48060	16.7
47019	16.7
47014	16.7
47011	16.7
47009	16.7
51062	16.7
51061	16.7
49063	16.7
46054	16.7
49056	16.7
49052	16.7
49049	16.7
49048	16.7
49045	16.7
82045	16.7
49028	16.7
49023	16.7
49011	16.7
46066	16.7
48070	16.7
46074	16.7
47002	16.7
48065	16.7
46052	14.3
46051	14.3
46073	14.3
46057	14.3
46018	14.3
46020	14.3
46021	14.3
46055	14.3
46030	14.3
46035	14.3
46036	14.3
46038	14.3
46044	14.3
46048	14.3
46050	14.3
46042	14.3
